CONTRAC TORS-BUILDING-GENERAL,87
Jewelers-Wholesale & Import-,87
Goal Dealers-Retall,86
"""J EWELERS' SUPPLIES""",86
FURNITURE-RETAIL,86
AND METAL,86
Corsetieres,86
Barrel Dealers,86
Mllliners,86
ELECTRICAL EQUIPMENT AND SUPPLIES-DEALERS,85
CHURCHES-CONTD,85
VENDING MACHINES,85
AND SUPPLIES,85
Confectionery & Ice Cream- Retail (See also Fruit Dealers),85
Platers,85
Landscape Gardeners,85
TAILORS- MERCHANT,84
MACHINERY MANUFACTURERS,84
AUTOMOBILE REPAIRIN G,84
Baths,84
ENGINEERS-CONSULTING,84
HARDWARE-RETAIL,84
Hospitals & Dispensaries,84
GENERAL,84
lNG),84
"Gleaners-Garments, Curtains & Draperies",83
AUTOMOBILE ACCESSORIES and PARTS-RETAIL,83
Laundries-Chlnese,83
Electrical Equipment & Supplies -Dealers,82
DRUGGISTS -RETAIL,82
Printers-Bvook & Commercial,82
59 Chestnut,82
INSURANCE For Every Need Tel. GAsnee 6700 805 INDUSTRIAL TRUST BUILDING Service Office in Lobby,81
Advertising Counsel & Service,81
AUTOMOBILE ACCESSORIES AN D PARTS-RETAIL,81
*Goncmte Construction- Contractors,81
SALE,80
GROCERI- AND MEATS- RETAIL CONTD,80
Confectionery-Retail,80
*FUE L OIL DEALERS,80
Organizations-Labor,80
TRAVEL AGENCIES,80
CHURCHES AND SYNAGOGUES,80
Cemeteries,80
AC COUNTANTS- PUBLIC,79
Remnants-Dealers,79
"Watch & Jewelry Repairers (See also J ewelry, Watches &c)",79
DE mRATING- Contd,79
INSURANCE COMPANIES-CONTD,79
TAXICAB SERVICE,79
Office Suppllms & Equipment,79
Shirt Mfrs,79
CONTRACTORS- CARPENTER-CONTD,78
Stenographers-Public,78
Expressing and Moving (See also Trucking),78
STRIP,78
CONTRACTORs-PAINTING AND DE CORATING,78
INSURANCE AGENTS-CONTD,78
Radio Sets-Sales and Service,78
NURSING HOMES,78
GYMNASIUMS,77
Storage,77
RPSTAURANTS-CONTD,77
DELICATESSEN,77
Dry Goods-Retau,77
LUMBER-RETAIL,77
TAVEMB-UUN IU,77
Clubs-Civic,77
FOUNDRIES,77
Halls,76
CONTRACTORS CARPENTER,76
Phone DExter 2678,76
AUTOMOBILE PAINTERS,76
BANDS AND ORCHESTRAS,76
MILLINERS,75
BUILDING MAINTENANCE,74
